trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
"33,True,""{'a': 0, 'e': 0}"",30,8,39.34319045565017,""{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"34,True,""{'a': 0, 'e': 0}"",20,16,10.434023821598318,""{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"35,True,""{'a': 0, 'e': 0}"",30,15,32.79977162877565,""{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"36,True,""{'a': 0, 'e': 0}"",25,5,33.999721062475224,""{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"37,True,""{'a': 0, 'e': 0}"",20,9,18.598757685635427,""{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"38,True,""{'a': 0, 'e': 0}"",20,9,19.902586556571453,""{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"39,True,""{'a': 0, 'e': 0}"",20,8,22.82348745736605,""{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"40,True,""{'a': 0, 'e': 0}"",30,23,14.205746082342323,""{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"41,True,""{'a': 0, 'e': 0}"",20,0,32.69072909004835,""{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}"",0"
"42,True,""{'a': 0, 'e': 0}"",25,8,33.91458680739912,""{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"43,True,""{'a': 0, 'e': 0}"",20,3,27.541628960460876,""{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"44,True,""{'a': 0, 'e': 0}"",25,11,25.858251473653578,""{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"45,True,""{'a': 0, 'e': 0}"",20,9,23.071214502888356,""{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"46,True,""{'a': 0, 'e': 0}"",25,17,14.919871556081281,""{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"47,True,""{'a': 0, 'e': 0}"",35,18,30.57580470357101,""{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
